name,manufacturer,year,age,mileage,engine,transmission,price
Nissan Navara,Nissan,2016,5,30531,Diesel,Automatic,21990
Nissan Navara,Nissan,2019,2,39892,Diesel,Automatic,22500
Nissan Navara,Nissan,2017,4,35352,Diesel,Manual,19750
Nissan Navara,Nissan,2017,4,55125,Diesel,Manual,19899
Nissan Micra,Nissan,2017,4,25432,Petrol,Manual,8829
Nissan Micra,Nissan,2017,4,15569,Petrol,Manual,9480
Mitsubishi Shogun,Mitsubishi,2014,7,65029,Diesel,Automatic,17799
Mitsubishi Outlander,Mitsubishi,2021,0,18,Petrol,Semiautomatic,27875
Mitsubishi Outlander,Mitsubishi,2014,7,53658,Diesel,Semiautomatic,12254
Mitsubishi L200,Mitsubishi,2018,3,34000,Diesel,Manual,19995
Mitsubishi L200,Mitsubishi,2019,2,20517,Diesel,Automatic,24000
Mitsubishi L200,Mitsubishi,2017,4,25372,Diesel,Manual,21000
MINI Countryman,Mini,2020,1,8065,Petrol,Semiautomatic,29690
MINI Countryman,Mini,2019,2,8119,Petrol,Semiautomatic,23980
MINI Countryman,Mini,2018,3,10622,Petrol,Semiautomatic,24900
MINI Hatchback,Mini,2019,2,16001,Petrol,Semiautomatic,21000
MINI Hatchback,Mini,2017,4,12645,Petrol,Manual,11090
MINI Hatchback,Mini,2020,1,7788,Electric,Automatic,28990
MINI Hatchback,Mini,2014,7,45449,Petrol,Semiautomatic,14990
MINI Hatchback,Mini,2016,5,59388,Petrol,Manual,9995
MINI Hatchback,Mini,2019,2,11010,Petrol,Manual,13999
MG MG3,MG,2020,1,7250,Petrol,Manual,9995
MG ZS,MG,2018,3,22419,Petrol,Manual,12250
Mercedes-Benz Gla,Mercedes-Benz,2019,2,8743,Petrol,Semiautomatic,24999
Mercedes-Benz Gla,Mercedes-Benz,2016,5,46757,Diesel,Semiautomatic,18495
Mercedes-Benz Gla,Mercedes-Benz,2017,4,28818,Diesel,Semiautomatic,22999
Mercedes-Benz Gla,Mercedes-Benz,2020,1,2304,Petrol,Semiautomatic,28490
Mercedes-Benz Gla,Mercedes-Benz,2015,6,65000,Diesel,Semiautomatic,16750
Mercedes-Benz Gla,Mercedes-Benz,2017,4,10437,Diesel,Manual,20480
Mercedes-Benz Gla,Mercedes-Benz,2017,4,21000,Diesel,Semiautomatic,22695
Mercedes-Benz Cla,Mercedes-Benz,2019,2,10529,Petrol,Semiautomatic,29499
Mercedes-Benz Cla,Mercedes-Benz,2017,4,32899,Diesel,Semiautomatic,21348
Mercedes-Benz Vito,Mercedes-Benz,2017,4,78114,Diesel,Manual,17995
Mercedes-Benz CLS,Mercedes-Benz,2015,6,24448,Diesel,Semiautomatic,23098
Mercedes-Benz Sprinter,Mercedes-Benz,2016,5,64608,Diesel,Manual,14495
Mercedes-Benz S-Class,Mercedes-Benz,2014,7,53550,Diesel,Semiautomatic,22990
Mercedes-Benz M-Class,Mercedes-Benz,2015,6,49665,Diesel,Semiautomatic,24999
Mercedes-Benz GLC,Mercedes-Benz,2018,3,46608,Diesel,Semiautomatic,27999
Mercedes-Benz GLC Coupe,Mercedes-Benz,2017,4,56602,Diesel,Semiautomatic,28999
Mercedes-Benz GLC,Mercedes-Benz,2017,4,38334,Diesel,Semiautomatic,29999
Mercedes-Benz E-Class,Mercedes-Benz,2020,1,10448,Diesel,Semiautomatic,27999
Mercedes-Benz E-Class,Mercedes-Benz,2019,2,19220,Diesel,Semiautomatic,24999
Mercedes-Benz E-Class,Mercedes-Benz,2018,3,27249,Diesel,Semiautomatic,28499
Mercedes-Benz E-Class,Mercedes-Benz,2018,3,49321,Diesel,Semiautomatic,26999
Mercedes-Benz E-Class,Mercedes-Benz,2018,3,10121,Diesel,Semiautomatic,29999
Mercedes-Benz C-Class,Mercedes-Benz,2020,1,6398,Petrol,Semiautomatic,28499
Mercedes-Benz C-Class,Mercedes-Benz,2019,2,18591,Diesel,Semiautomatic,22999
Mercedes-Benz C-Class,Mercedes-Benz,2019,2,29535,Diesel,Semiautomatic,26499
Mercedes-Benz C-Class,Mercedes-Benz,2017,4,31238,Diesel,Semiautomatic,19999
Mercedes-Benz C-Class,Mercedes-Benz,2019,2,20354,Petrol,Semiautomatic,25499
Mercedes-Benz C-Class,Mercedes-Benz,2018,3,19800,Diesel,Semiautomatic,28499
Mercedes-Benz C-Class,Mercedes-Benz,2018,3,16742,Petrol,Semiautomatic,27999
Mercedes-Benz C-Class,Mercedes-Benz,2020,1,12059,Diesel,Semiautomatic,25995
Mercedes-Benz C-Class,Mercedes-Benz,2018,3,16241,Petrol,Semiautomatic,27980
Mercedes-Benz C-Class,Mercedes-Benz,2017,4,30250,Diesel,Semiautomatic,25995
Mercedes-Benz C-Class,Mercedes-Benz,2018,3,22911,Diesel,Automatic,28999
Mercedes-Benz C-Class,Mercedes-Benz,2014,7,62500,Diesel,Semiautomatic,11000
Mercedes-Benz C-Class,Mercedes-Benz,2018,3,46906,Diesel,Semiautomatic,18980
Mercedes-Benz C-Class,Mercedes-Benz,2018,3,39550,Diesel,Semiautomatic,23350
Mercedes-Benz C-Class,Mercedes-Benz,2019,2,30202,Petrol,Semiautomatic,29980
Mercedes-Benz C-Class,Mercedes-Benz,2020,1,22640,Diesel,Semiautomatic,26999
Mercedes-Benz C-Class,Mercedes-Benz,2017,4,39096,Diesel,Semiautomatic,25999
Mercedes-Benz Glb,Mercedes-Benz,2020,1,44391,Diesel,Semiautomatic,10350
Mercedes-Benz B-Class,Mercedes-Benz,2019,2,9100,Diesel,Semiautomatic,24480
Mercedes-Benz A-Class,Mercedes-Benz,2019,2,19127,Diesel,Semiautomatic,26799
Mercedes-Benz A-Class,Mercedes-Benz,2014,7,96462,Diesel,Manual,8000
Mercedes-Benz A-Class,Mercedes-Benz,2018,3,17074,Diesel,Semiautomatic,19499
Mercedes-Benz A-Class,Mercedes-Benz,2019,2,15396,Diesel,Semiautomatic,24300
Mercedes-Benz A-Class,Mercedes-Benz,2020,1,5766,Petrol,Semiautomatic,27999
Mercedes-Benz A-Class,Mercedes-Benz,2019,2,19814,Diesel,Semiautomatic,26999
Mercedes-Benz A-Class,Mercedes-Benz,2016,5,47840,Diesel,Semiautomatic,13300
Mercedes-Benz A-Class,Mercedes-Benz,2021,0,1003,Petrol,Semiautomatic,28980
Mercedes-Benz A-Class,Mercedes-Benz,2014,7,49746,Diesel,Semiautomatic,12980
Mercedes-Benz A-Class,Mercedes-Benz,2019,2,5900,Petrol,Semiautomatic,24695
Mercedes-Benz A-Class,Mercedes-Benz,2018,3,14224,Diesel,Semiautomatic,21995
Mercedes-Benz A-Class,Mercedes-Benz,2018,3,60492,Diesel,Manual,16790
Mercedes-Benz A-Class,Mercedes-Benz,2017,4,59626,Diesel,Semiautomatic,15799
Mercedes-Benz A-Class,Mercedes-Benz,2020,1,3241,Petrol,Semiautomatic,27480
Mercedes-Benz A-Class,Mercedes-Benz,2021,0,1147,Petrol,Semiautomatic,28980
Mercedes-Benz A-Class,Mercedes-Benz,2019,2,19597,Diesel,Semiautomatic,25999
Mazda Cx 30,Mazda,2021,0,4746,Petrol,Manual,22995
Mazda CX-5,Mazda,2019,2,28822,Diesel,Automatic,21870
Mazda MX-5,Mazda,2017,4,13325,Petrol,Manual,21500
Mazda MX-5,Mazda,2016,5,18110,Petrol,Manual,17000
Mazda 3,Mazda,2014,7,48050,Diesel,Manual,7450
Mazda 3,Mazda,2018,3,7420,Petrol,Automatic,15495
Mazda 2,Mazda,2017,4,61471,Petrol,Manual,7000
Mazda 2,Mazda,2016,5,27779,Petrol,Manual,7480
Mazda 2,Mazda,2015,6,24438,Petrol,Manual,8200
Mazda 2,Mazda,2015,6,26640,Petrol,Manual,8800
Mazda 2,Mazda,2018,3,17200,Petrol,Manual,11600
Lexus CT,Lexus,2018,3,12996,Hybrid,Automatic,18195
Lexus IS,Lexus,2015,6,39483,Hybrid,Automatic,14295
Land Rover Discovery Sport,Land-Rover,2016,5,48500,Diesel,Automatic,23995
Land Rover Range Rover Evoque,Land-Rover,2016,5,50019,Diesel,Manual,20000
Land Rover Range Rover Evoque,Land-Rover,2017,4,14288,Diesel,Manual,25150
Land Rover Range Rover Evoque,Land-Rover,2017,4,31474,Diesel,Manual,24480
Land Rover Range Rover Evoque,Land-Rover,2016,5,54358,Diesel,Automatic,22000
Land Rover Range Rover Evoque,Land-Rover,2019,2,15795,Diesel,Manual,27790
Land Rover Range Rover Evoque,Land-Rover,2016,5,30466,Diesel,Automatic,23750
Land Rover Range Rover Evoque,Land-Rover,2015,6,37268,Diesel,Automatic,20500
Kia Niro,Kia,2018,3,11700,Hybrid,Automatic,21995
Kia Niro,Kia,2020,1,2491,Hybrid,Automatic,23997
Kia Niro,Kia,2019,2,17686,Hybrid,Automatic,19999
Kia Pro Ceed,Kia,2016,5,53958,Diesel,Manual,7290
Kia Xceed,Kia,2021,0,1917,Petrol,Manual,21999
Kia Sportage,Kia,2019,2,15100,Diesel,Automatic,22541
Kia Sportage,Kia,2019,2,23978,Diesel,Manual,20333
Kia Sportage,Kia,2020,1,11886,Petrol,Manual,27995
Kia Sportage,Kia,2020,1,6946,Diesel,Manual,23495
Kia Sportage,Kia,2017,4,41124,Diesel,Automatic,18480
Kia Sportage,Kia,2018,3,25100,Diesel,Manual,18113
Kia Sportage,Kia,2018,3,16999,Diesel,Automatic,26995
Kia Sportage,Kia,2019,2,9325,Diesel,Manual,22999
Kia Sportage,Kia,2018,3,19846,Petrol,Automatic,23999
Kia Sportage,Kia,2020,1,5400,Hybrid,Automatic,23502
Kia Sportage,Kia,2015,6,37709,Petrol,Manual,10970
Mazda CX-3,Mazda,2019,2,17889,Petrol,Manual,17190
Mazda CX-5,Mazda,2018,3,14654,Diesel,Manual,21380
Mazda 6,Mazda,2014,7,78945,Diesel,Manual,6700
Mazda 6,Mazda,2018,3,34561,Petrol,Manual,11999
Kia Stonic,Kia,2019,2,21560,Petrol,Manual,13323
Kia Stonic,Kia,2019,2,5278,Petrol,Manual,16995
Kia Niro,Kia,2019,2,12321,Hybrid,Automatic,20999
Kia Sportage,Kia,2020,1,4086,Petrol,Manual,24995
Kia Sportage,Kia,2018,3,20456,Diesel,Manual,18795
Kia Sportage,Kia,2014,7,61276,Diesel,Manual,10499
Kia Sportage,Kia,2019,2,9600,Petrol,Manual,20295
Kia Sportage,Kia,2018,3,32790,Petrol,Manual,14999
Kia Sorento,Kia,2015,6,50000,Diesel,Automatic,21980
Kia Picanto,Kia,2018,3,5369,Petrol,Manual,8495
Kia Picanto,Kia,2017,4,16658,Petrol,Manual,6397
Kia Picanto,Kia,2017,4,15446,Petrol,Automatic,10499
Kia Picanto,Kia,2019,2,1800,Petrol,Automatic,13490
Kia Picanto,Kia,2016,5,47950,Petrol,Manual,4500
Jeep Renegade,Jeep,2016,5,29600,Petrol,Manual,11465
Jeep Renegade,Jeep,2018,3,17507,Petrol,Manual,14990
Jaguar E Pace,Jaguar,2019,2,35615,Diesel,Automatic,29650
Jaguar XE,Jaguar,2017,4,61805,Diesel,Manual,13499
Jaguar XE,Jaguar,2015,6,63973,Diesel,Automatic,14480
Isuzu D-Max,Isuzu,2018,3,28559,Diesel,Manual,25000
Hyundai Kona,Hyundai,2019,2,17800,Petrol,Manual,14595
Hyundai Kona,Hyundai,2018,3,21208,Petrol,Manual,15010
Hyundai Kona,Hyundai,2020,1,5355,Hybrid,Automatic,21995
Hyundai Kona,Hyundai,2018,3,9125,Petrol,Manual,16750
Hyundai IX20,Hyundai,2017,4,40050,Petrol,Manual,8995
Hyundai IX20,Hyundai,2017,4,24957,Petrol,Manual,8200
Hyundai IX20,Hyundai,2018,3,18075,Petrol,Manual,9995
Hyundai I40,Hyundai,2014,7,87722,Diesel,Manual,5000
Hyundai IX35,Hyundai,2015,6,34234,Diesel,Manual,10450
Hyundai IX35,Hyundai,2015,6,35897,Petrol,Manual,10400
Hyundai I20,Hyundai,2017,4,13841,Petrol,Manual,8500
Hyundai I20,Hyundai,2020,1,3475,Petrol,Manual,14250
Hyundai I20,Hyundai,2019,2,12218,Petrol,Manual,12995
Hyundai I20,Hyundai,2019,2,13201,Petrol,Manual,13499
Hyundai I10,Hyundai,2016,5,37622,Petrol,Manual,6195
Hyundai I10,Hyundai,2019,2,8925,Petrol,Semiautomatic,12450
Hyundai I10,Hyundai,2018,3,14450,Petrol,Manual,7995
Hyundai I10,Hyundai,2017,4,38050,Petrol,Manual,6995
Hyundai I10,Hyundai,2017,4,7450,Petrol,Manual,7795
Hyundai I10,Hyundai,2017,4,16050,Petrol,Manual,7250
Hyundai I10,Hyundai,2017,4,28050,Petrol,Manual,7295
Hyundai I10,Hyundai,2019,2,12710,Petrol,Manual,8596
Hyundai I10,Hyundai,2015,6,59320,Petrol,Manual,5450
Hyundai I10,Hyundai,2018,3,9548,Petrol,Manual,8697
Hyundai I10,Hyundai,2017,4,25062,Petrol,Manual,8500
Hyundai I30,Hyundai,2019,2,7780,Petrol,Manual,16995
Hyundai I30,Hyundai,2017,4,41347,Diesel,Manual,11129
Hyundai Tucson,Hyundai,2021,0,2139,Hybrid,Semiautomatic,28495
Hyundai Tucson,Hyundai,2020,1,7256,Petrol,Manual,22917
Hyundai Tucson,Hyundai,2018,3,8248,Diesel,Manual,15495
Hyundai Tucson,Hyundai,2018,3,14498,Petrol,Manual,18910
Hyundai Tucson,Hyundai,2018,3,13163,Petrol,Manual,15300
Hyundai Tucson,Hyundai,2018,3,9845,Petrol,Manual,14700
Hyundai Tucson,Hyundai,2018,3,18188,Petrol,Manual,14700
Hyundai Tucson,Hyundai,2019,2,11800,Petrol,Manual,17995
Hyundai Tucson,Hyundai,2019,2,13050,Petrol,Manual,17995
Hyundai Tucson,Hyundai,2019,2,7750,Petrol,Manual,18995
Hyundai Tucson,Hyundai,2019,2,9250,Petrol,Manual,17995
Hyundai Tucson,Hyundai,2019,2,34630,Diesel,Manual,17995
Hyundai Tucson,Hyundai,2018,3,13750,Petrol,Manual,17995
Hyundai Tucson,Hyundai,2018,3,21780,Petrol,Manual,17995
Hyundai Tucson,Hyundai,2018,3,34400,Petrol,Manual,15500
Hyundai Tucson,Hyundai,2020,1,8979,Petrol,Manual,23000
Hyundai Tucson,Hyundai,2015,6,63211,Diesel,Manual,10995
Hyundai Tucson,Hyundai,2018,3,29064,Petrol,Manual,18944
Hyundai Tucson,Hyundai,2018,3,12816,Petrol,Semiautomatic,20555
Hyundai Santa FE,Hyundai,2017,4,32425,Diesel,Semiautomatic,21000
Hyundai Santa FE,Hyundai,2016,5,52328,Diesel,Manual,18900
Hyundai Santa FE,Hyundai,2018,3,49497,Diesel,Semiautomatic,19697
Hyundai Santa FE,Hyundai,2014,7,49860,Diesel,Manual,15599
Honda Jazz,Honda,2019,2,3360,Petrol,Manual,13995
Honda Jazz,Honda,2018,3,21312,Petrol,Manual,11295
Honda Jazz,Honda,2019,2,14017,Petrol,Manual,11500
Honda Jazz,Honda,2018,3,13937,Petrol,Manual,11800
Honda Jazz,Honda,2016,5,29409,Petrol,Automatic,10295
Honda Jazz,Honda,2018,3,24499,Petrol,Manual,10995
Honda Jazz,Honda,2019,2,13000,Petrol,Manual,13500
Honda Jazz,Honda,2016,5,23463,Petrol,Manual,9000
Honda HR-V,Honda,2015,6,53469,Diesel,Manual,10995
Honda CR-V,Honda,2020,1,2359,Petrol,Manual,29995
Honda CR-V,Honda,2018,3,43046,Petrol,Automatic,20500
Honda Civic,Honda,2019,2,8436,Petrol,Automatic,15995
Honda Civic,Honda,2018,3,41101,Petrol,Manual,13495
Honda Civic,Honda,2017,4,9500,Diesel,Manual,13950
Honda Civic,Honda,2017,4,23008,Petrol,Manual,15970
Honda Civic,Honda,2017,4,36047,Diesel,Manual,10850
Honda Civic,Honda,2018,3,30955,Petrol,Manual,16990
Honda Civic,Honda,2018,3,26837,Petrol,Manual,14495
Honda Civic,Honda,2018,3,16721,Petrol,Manual,13495
Honda Civic,Honda,2014,7,44506,Petrol,Manual,9490
Ford Fiesta,Ford,2021,0,100,Petrol,Manual,17000
Ford Fiesta,Ford,2016,5,69985,Diesel,Manual,6999
Ford Edge,Ford,2018,3,27422,Diesel,Semiautomatic,27490
Ford Edge,Ford,2018,3,11893,Diesel,Manual,22500
Ford Edge,Ford,2018,3,14384,Diesel,Semiautomatic,27670
Ford Ecosport,Ford,2018,3,19537,Petrol,Manual,16450
Ford Ecosport,Ford,2018,3,31025,Petrol,Manual,14450
Ford Ecosport,Ford,2018,3,8772,Petrol,Manual,15900
Ford Ecosport,Ford,2020,1,4500,Petrol,Manual,18500
Ford Ecosport,Ford,2019,2,5780,Petrol,Manual,18090
Ford Ecosport,Ford,2016,5,61408,Diesel,Manual,8890
Ford Ecosport,Ford,2016,5,28364,Petrol,Manual,9000
Ford Ecosport,Ford,2015,6,38694,Petrol,Manual,8390
Ford Ecosport,Ford,2017,4,13500,Petrol,Manual,11000
Ford Ecosport,Ford,2020,1,8411,Petrol,Manual,19000
Ford Ecosport,Ford,2020,1,8827,Petrol,Manual,15000
Ford Ecosport,Ford,2020,1,8254,Petrol,Manual,18000
Ford Ecosport,Ford,2019,2,9962,Petrol,Manual,14500
Ford Ecosport,Ford,2019,2,12335,Petrol,Manual,15300
Ford Ecosport,Ford,2019,2,8659,Petrol,Semiautomatic,18000
Ford Ecosport,Ford,2018,3,19735,Diesel,Manual,10800
Ford Ecosport,Ford,2018,3,26952,Petrol,Manual,14500
Ford Ecosport,Ford,2019,2,3532,Petrol,Semiautomatic,17495
Ford Ecosport,Ford,2018,3,18439,Diesel,Manual,11995
Ford Ecosport,Ford,2018,3,20734,Petrol,Manual,13500
Ford Ecosport,Ford,2018,3,49516,Petrol,Manual,11800
Ford Ecosport,Ford,2020,1,15676,Petrol,Manual,15500
Ford Ecosport,Ford,2018,3,4693,Petrol,Manual,13000
Ford Ecosport,Ford,2019,2,3412,Petrol,Manual,15300
Ford Ecosport,Ford,2018,3,16513,Petrol,Manual,13990
Ford Ecosport,Ford,2018,3,39725,Petrol,Semiautomatic,15390
Ford Ecosport,Ford,2018,3,14102,Petrol,Semiautomatic,14400
Ford Ecosport,Ford,2018,3,14461,Petrol,Manual,15995
Ford Ecosport,Ford,2018,3,22853,Petrol,Manual,12495
Ford Ecosport,Ford,2020,1,11256,Petrol,Manual,17500
Ford Ecosport,Ford,2019,2,2825,Petrol,Manual,16795
Ford Ecosport,Ford,2019,2,4592,Petrol,Semiautomatic,19706
Ford Ecosport,Ford,2018,3,30231,Petrol,Semiautomatic,16800
Ford Ecosport,Ford,2018,3,26996,Petrol,Manual,15500
Ford Ecosport,Ford,2016,5,31730,Petrol,Semiautomatic,12000
Ford Ecosport,Ford,2019,2,19036,Diesel,Manual,15470
Ford Ecosport,Ford,2019,2,18143,Petrol,Manual,15470
Ford Ecosport,Ford,2019,2,6973,Petrol,Manual,16970
Ford Ecosport,Ford,2016,5,52392,Petrol,Manual,8798
Ford Ecosport,Ford,2019,2,13002,Petrol,Semiautomatic,17250
Ford Ecosport,Ford,2017,4,29425,Diesel,Manual,9900
Ford Ecosport,Ford,2019,2,7918,Petrol,Manual,15300
Ford Ecosport,Ford,2019,2,14982,Petrol,Manual,16100
Ford Ecosport,Ford,2018,3,24453,Petrol,Manual,11000
Ford Ecosport,Ford,2018,3,30160,Petrol,Manual,14500
Ford Ecosport,Ford,2020,1,2461,Petrol,Manual,18500
Ford Ecosport,Ford,2018,3,7865,Petrol,Manual,16500
Ford Ecosport,Ford,2018,3,27865,Petrol,Manual,13800
Ford Ecosport,Ford,2018,3,12528,Petrol,Manual,14500
Ford Ecosport,Ford,2016,5,33768,Petrol,Manual,9100
Ford Ecosport,Ford,2018,3,14313,Petrol,Semiautomatic,17000
Ford Ecosport,Ford,2018,3,44227,Petrol,Manual,12500
Ford Ecosport,Ford,2018,3,39608,Petrol,Manual,12600
Ford Ecosport,Ford,2020,1,9976,Petrol,Manual,18300
Ford Ecosport,Ford,2019,2,11921,Petrol,Manual,15600
Ford Ecosport,Ford,2018,3,21120,Petrol,Manual,12200
Ford Ecosport,Ford,2019,2,24332,Petrol,Manual,14650
Ford Ecosport,Ford,2018,3,32542,Petrol,Manual,12250
Ford Ecosport,Ford,2017,4,14240,Petrol,Semiautomatic,11195
Ford Ecosport,Ford,2015,6,48686,Petrol,Manual,8650
Ford Ecosport,Ford,2019,2,7230,Petrol,Manual,15500
Ford Ecosport,Ford,2021,0,2145,Petrol,Manual,19470
Ford Ecosport,Ford,2018,3,17296,Petrol,Manual,13590
Ford Ecosport,Ford,2018,3,19512,Petrol,Manual,14970
Ford Ecosport,Ford,2018,3,27485,Diesel,Manual,15495
Ford Ecosport,Ford,2018,3,13421,Petrol,Manual,14900
Ford Ecosport,Ford,2019,2,9300,Petrol,Manual,17995
Ford Ecosport,Ford,2019,2,9842,Petrol,Semiautomatic,17000
Ford Ecosport,Ford,2018,3,14501,Petrol,Manual,15200
Ford Ecosport,Ford,2018,3,11761,Petrol,Manual,16400
Ford Ecosport,Ford,2018,3,21377,Petrol,Semiautomatic,17800
Ford Ecosport,Ford,2019,2,16090,Petrol,Manual,14690
Ford Ecosport,Ford,2019,2,20906,Petrol,Semiautomatic,17500
Ford Ecosport,Ford,2019,2,5735,Petrol,Manual,16990
Ford Ecosport,Ford,2018,3,15820,Petrol,Semiautomatic,16600
Ford Ecosport,Ford,2020,1,2988,Petrol,Manual,20700
Ford Ecosport,Ford,2020,1,2518,Petrol,Semiautomatic,20800
Ford Ecosport,Ford,2019,2,7661,Petrol,Manual,16300
Ford Ecosport,Ford,2019,2,13792,Petrol,Manual,14400
Ford B Max,Ford,2014,7,74832,Diesel,Manual,5750
Ford B Max,Ford,2017,4,28236,Petrol,Manual,9800
Ford B Max,Ford,2017,4,16035,Petrol,Semiautomatic,10290
Ford B Max,Ford,2016,5,70834,Diesel,Manual,5750
Ford B Max,Ford,2017,4,16975,Petrol,Semiautomatic,10500
Ford B Max,Ford,2017,4,11768,Petrol,Semiautomatic,12400
Ford B Max,Ford,2015,6,10519,Petrol,Manual,9500
Ford Kuga,Ford,2020,1,10715,Diesel,Manual,25300
Ford Kuga,Ford,2020,1,7433,Diesel,Manual,25750
Ford Kuga,Ford,2020,1,9155,Diesel,Manual,25850
Ford Kuga,Ford,2019,2,4582,Petrol,Automatic,24000
Ford Kuga,Ford,2019,2,10824,Petrol,Manual,20750
Ford Kuga,Ford,2018,3,36709,Diesel,Manual,18000
Ford Kuga,Ford,2015,6,26015,Diesel,Semiautomatic,13000
Ford Kuga,Ford,2015,6,92000,Diesel,Manual,10450
Ford Kuga,Ford,2015,6,12400,Petrol,Automatic,15450
Ford Kuga,Ford,2014,7,59234,Diesel,Manual,9850
Ford Kuga,Ford,2018,3,49988,Diesel,Manual,15790
Ford Kuga,Ford,2014,7,66470,Diesel,Manual,9500
Ford Kuga,Ford,2018,3,12407,Diesel,Manual,20800
Ford Kuga,Ford,2018,3,17778,Diesel,Manual,20200
Ford Kuga,Ford,2018,3,6175,Diesel,Semiautomatic,21000
Ford Kuga,Ford,2015,6,51433,Diesel,Manual,11000
Ford Kuga Vignale,Ford,2017,4,18650,Diesel,Semiautomatic,22000
Ford Kuga,Ford,2020,1,670,Petrol,Manual,26000
Ford Kuga,Ford,2020,1,3972,Diesel,Manual,26500
Ford Kuga,Ford,2019,2,8815,Diesel,Semiautomatic,23500
Ford Kuga,Ford,2018,3,32772,Diesel,Manual,15800
Ford Kuga,Ford,2018,3,17238,Diesel,Manual,18000
Ford Kuga,Ford,2018,3,24503,Diesel,Semiautomatic,18500
Ford Kuga,Ford,2018,3,21663,Petrol,Automatic,22000
Ford Kuga,Ford,2018,3,39860,Petrol,Automatic,21500
Ford Kuga,Ford,2014,7,21247,Diesel,Manual,11000
Ford Kuga,Ford,2020,1,5903,Diesel,Manual,23790
Ford Kuga,Ford,2019,2,4916,Petrol,Manual,23290
Ford Kuga,Ford,2015,6,53015,Diesel,Manual,13340
Ford Kuga,Ford,2019,2,8773,Petrol,Manual,21750
Ford Kuga,Ford,2018,3,48799,Diesel,Semiautomatic,16750
Ford Kuga,Ford,2020,1,13434,Diesel,Manual,26500
Ford Kuga,Ford,2018,3,24545,Diesel,Manual,20000
Ford Kuga,Ford,2020,1,1827,Diesel,Manual,29290
Ford Kuga,Ford,2020,1,3477,Diesel,Manual,29290
Ford Kuga,Ford,2018,3,11386,Diesel,Manual,16800
Ford Kuga,Ford,2018,3,14197,Diesel,Manual,17800
Ford Kuga Vignale,Ford,2018,3,15680,Diesel,Manual,21700
Ford Kuga,Ford,2019,2,12987,Petrol,Manual,22695
Ford Kuga,Ford,2018,3,23564,Diesel,Manual,16000
Ford Kuga,Ford,2018,3,5074,Petrol,Automatic,21490
Ford Kuga,Ford,2018,3,10009,Petrol,Manual,15995
Ford Kuga,Ford,2017,4,24165,Diesel,Manual,14500
Ford Kuga,Ford,2018,3,39584,Diesel,Semiautomatic,15500
Ford Kuga,Ford,2017,4,79794,Diesel,Semiautomatic,14700
Ford Kuga,Ford,2019,2,37872,Petrol,Manual,20500
Ford Kuga,Ford,2018,3,20459,Diesel,Manual,17500
Ford Kuga,Ford,2018,3,20140,Diesel,Manual,19500
Ford Kuga,Ford,2017,4,23051,Diesel,Manual,14000
Ford Kuga,Ford,2016,5,23957,Diesel,Manual,18950
Ford Kuga,Ford,2020,1,7947,Diesel,Manual,23970
Ford Kuga,Ford,2020,1,5377,Diesel,Manual,27400
Ford Kuga,Ford,2017,4,36359,Diesel,Manual,14470
Ford Kuga,Ford,2020,1,1352,Petrol,Manual,25500
Ford Kuga,Ford,2019,2,3610,Diesel,Semiautomatic,21500
Ford Kuga,Ford,2019,2,13775,Diesel,Semiautomatic,25400
Ford Kuga,Ford,2019,2,7451,Petrol,Manual,23500
Ford Kuga,Ford,2016,5,21022,Petrol,Automatic,15500
Ford Kuga,Ford,2019,2,17320,Diesel,Manual,18200
Ford Kuga,Ford,2019,2,12401,Petrol,Manual,21000
Ford Kuga,Ford,2018,3,17749,Petrol,Manual,19000
Ford Kuga,Ford,2017,4,23419,Diesel,Semiautomatic,22000
Ford Kuga,Ford,2018,3,4899,Diesel,Semiautomatic,21995
Ford Kuga Vignale,Ford,2019,2,7100,Petrol,Automatic,24500
Ford Kuga,Ford,2019,2,9324,Diesel,Manual,19000
Ford Kuga,Ford,2019,2,17976,Diesel,Manual,20500
Ford Kuga,Ford,2018,3,28433,Diesel,Manual,16500
Ford Kuga,Ford,2018,3,29600,Diesel,Manual,18000
Ford Kuga,Ford,2018,3,8606,Diesel,Semiautomatic,22500
Ford Kuga,Ford,2018,3,4315,Diesel,Semiautomatic,18100
Ford Kuga,Ford,2017,4,35053,Diesel,Semiautomatic,19000
Ford Kuga,Ford,2017,4,25221,Diesel,Semiautomatic,18300
Ford Kuga,Ford,2016,5,41166,Diesel,Manual,13300
Ford Kuga,Ford,2018,3,20343,Diesel,Manual,15000
Ford Kuga,Ford,2018,3,44937,Diesel,Manual,15000
Ford Kuga,Ford,2018,3,28592,Petrol,Manual,16300
Ford Kuga,Ford,2017,4,33050,Diesel,Semiautomatic,17300
Ford Kuga,Ford,2017,4,20243,Diesel,Manual,16100
Ford Kuga,Ford,2016,5,45738,Diesel,Manual,12000
Ford Kuga,Ford,2018,3,37018,Petrol,Automatic,18800
Ford Kuga,Ford,2019,2,10575,Diesel,Manual,23495
Ford Kuga,Ford,2019,2,20579,Diesel,Manual,19395
Ford Kuga,Ford,2019,2,24865,Diesel,Manual,17995
Ford Kuga,Ford,2014,7,54671,Diesel,Manual,9250
Ford Kuga,Ford,2020,1,6200,Diesel,Manual,28200
Ford Kuga,Ford,2020,1,3638,Diesel,Manual,28900
Ford Kuga,Ford,2020,1,1370,Diesel,Manual,28900
