name,manufacturer,year,age,mileage,engine,transmission,price
Toyota Aygo,Toyota,2014,7,25677,Petrol,Semiautomatic,8500
Toyota Aygo,Toyota,2019,2,15590,Petrol,Manual,9200
Toyota Aygo,Toyota,2016,5,8899,Petrol,Manual,7995
Toyota Aygo,Toyota,2015,6,41000,Petrol,Manual,6795
Toyota Aygo,Toyota,2019,2,13988,Petrol,Semiautomatic,9590
Toyota Aygo,Toyota,2021,0,50,Petrol,Manual,12490
Toyota Aygo,Toyota,2015,6,26000,Petrol,Manual,6825
Toyota Aygo,Toyota,2020,1,9983,Petrol,Semiautomatic,11995
Toyota Aygo,Toyota,2020,1,4000,Petrol,Manual,10795
Toyota Aygo,Toyota,2019,2,10500,Petrol,Manual,10995
Toyota Aygo,Toyota,2015,6,34435,Petrol,Semiautomatic,7995
Toyota Aygo,Toyota,2018,3,22000,Petrol,Semiautomatic,9895
Toyota Auris,Toyota,2017,4,39922,Hybrid,Automatic,14500
Toyota Auris,Toyota,2017,4,30000,Hybrid,Automatic,16045
Toyota Auris,Toyota,2018,3,17065,Hybrid,Automatic,14795
Toyota Auris,Toyota,2014,7,63991,Petrol,Manual,6995
Suzuki Celerio,Suzuki,2016,5,6294,Petrol,Manual,5495
Suzuki Celerio,Suzuki,2016,5,46404,Petrol,Manual,4995
Suzuki SX4 S Cross,Suzuki,2018,3,16678,Petrol,Automatic,13990
Suzuki Swift,Suzuki,2018,3,7223,Petrol,Manual,8974
Suzuki Swift,Suzuki,2019,2,18900,Petrol,Automatic,13599
Suzuki Swift,Suzuki,2018,3,12932,Hybrid,Manual,10999
Suzuki Ignis,Suzuki,2017,4,28232,Petrol,Manual,8300
Suzuki Ignis,Suzuki,2018,3,15248,Petrol,Manual,9290
Suzuki Ignis,Suzuki,2019,2,22127,Hybrid,Manual,11495
Suzuki Ignis,Suzuki,2018,3,16067,Petrol,Manual,9999
Suzuki Vitara,Suzuki,2018,3,19574,Petrol,Manual,11250
Suzuki Vitara,Suzuki,2019,2,16204,Petrol,Manual,15000
Smart Forfour,Smart,2016,5,32221,Petrol,Manual,6800
Smart Fortwo Coupe,Smart,2017,4,32455,Petrol,Manual,5999
Smart Fortwo Coupe,Smart,2017,4,54900,Petrol,Automatic,11965
Smart Fortwo Coupe,Smart,2020,1,654,Electric,Automatic,17480
Skoda Kamiq,Skoda,2020,1,1679,Petrol,Semiautomatic,23990
